Assay,Library,R1_files,R2_files
dBFA2,dBFA2-pH7_3-R1-Time32,dBFA2_h1_dBFA2-pH7_3-R1-Time32_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R1-Time32_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R1-Time40,dBFA2_h1_dBFA2-pH7_3-R1-Time40_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R1-Time40_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R1-Time8,dBFA2_h1_dBFA2-pH7_3-R1-Time8_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R1-Time8_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R2-Time16,dBFA2_h1_dBFA2-pH7_3-R2-Time16_R1.fastq.gz;hBFA2_dBFA2_h2_dBFA2-pH7_3-R2-Time16_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R2-Time16_R2.fastq.gz;hBFA2_dBFA2_h2_dBFA2-pH7_3-R2-Time16_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R2-Time24,dBFA2_h1_dBFA2-pH7_3-R2-Time24_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R2-Time24_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R2-Time32,dBFA2_h1_dBFA2-pH7_3-R2-Time32_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R2-Time32_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R2-Time40,dBFA2_h1_dBFA2-pH7_3-R2-Time40_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R2-Time40_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R2-Time8,dBFA2_h1_dBFA2-pH7_3-R2-Time8_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R2-Time8_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R3-Time16,dBFA2_h1_dBFA2-pH7_3-R3-Time16_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R3-Time16_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R3-Time24,dBFA2_h1_dBFA2-pH7_3-R3-Time24_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R3-Time24_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R3-Time32,dBFA2_h1_dBFA2-pH7_3-R3-Time32_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R3-Time32_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R3-Time40,dBFA2_h1_dBFA2-pH7_3-R3-Time40_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R3-Time40_R2.fastq.gz
dBFA2,dBFA2-pH7_3-R3-Time8,dBFA2_h1_dBFA2-pH7_3-R3-Time8_R1.fastq.gz,dBFA2_h1_dBFA2-pH7_3-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R1-Time16,hBFA2_s_hBFA2-02M_NaCl-R1-Time16_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R1-Time24,hBFA2_s_hBFA2-02M_NaCl-R1-Time24_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R1-Time32,hBFA2_s_hBFA2-02M_NaCl-R1-Time32_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R1-Time40,hBFA2_s_hBFA2-02M_NaCl-R1-Time40_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R1-Time8,hBFA2_s_hBFA2-02M_NaCl-R1-Time8_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R2-Time16,hBFA2_s_hBFA2-02M_NaCl-R2-Time16_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R2-Time24,hBFA2_s_hBFA2-02M_NaCl-R2-Time24_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R2-Time32,hBFA2_s_hBFA2-02M_NaCl-R2-Time32_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R2-Time40,hBFA2_s_hBFA2-02M_NaCl-R2-Time40_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R2-Time8,hBFA2_s_hBFA2-02M_NaCl-R2-Time8_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R3-Time16,hBFA2_s_hBFA2-02M_NaCl-R3-Time16_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R3-Time24,hBFA2_s_hBFA2-02M_NaCl-R3-Time24_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R3-Time32,hBFA2_s_hBFA2-02M_NaCl-R3-Time32_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R3-Time40,hBFA2_s_hBFA2-02M_NaCl-R3-Time40_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl-R3-Time8,hBFA2_s_hBFA2-02M_NaCl-R3-Time8_R1.fastq.gz,hBFA2_s_hBFA2-02M_NaCl-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-02M_NaCl_alpha-R1-Subpool,hBFA2-02M_NaCl_alpha-R1-Subpool_S28_R1_001.fastq.gz,
hBFA2,hBFA2-08M_NaCl-R1-Time16,hBFA2_s_hBFA2-08M_NaCl-R1-Time16_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R1-Time24,hBFA2_s_hBFA2-08M_NaCl-R1-Time24_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R1-Time32,hBFA2_s_hBFA2-08M_NaCl-R1-Time32_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R1-Time40,hBFA2_s_hBFA2-08M_NaCl-R1-Time40_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R1-Time8,hBFA2_s_hBFA2-08M_NaCl-R1-Time8_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R2-Time16,hBFA2_s_hBFA2-08M_NaCl-R2-Time16_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R2-Time24,hBFA2_s_hBFA2-08M_NaCl-R2-Time24_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R2-Time32,hBFA2_s_hBFA2-08M_NaCl-R2-Time32_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R2-Time40,hBFA2_s_hBFA2-08M_NaCl-R2-Time40_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R2-Time8,hBFA2_s_hBFA2-08M_NaCl-R2-Time8_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R3-Time16,hBFA2_s_hBFA2-08M_NaCl-R3-Time16_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R3-Time24,hBFA2_s_hBFA2-08M_NaCl-R3-Time24_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R3-Time32,hBFA2_s_hBFA2-08M_NaCl-R3-Time32_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R3-Time40,hBFA2_s_hBFA2-08M_NaCl-R3-Time40_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl-R3-Time8,hBFA2_s_hBFA2-08M_NaCl-R3-Time8_R1.fastq.gz,hBFA2_s_hBFA2-08M_NaCl-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-08M_NaCl_alpha-R2-Subpool,hBFA2-08M_NaCl_alpha-R2-Subpool_S29_R1_001.fastq.gz,
hBFA2,hBFA2-21C-R1-Time16,hBFA2_s_hBFA2-21C-R1-Time16_R1.fastq.gz,hBFA2_s_hBFA2-21C-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-21C-R1-Time24,hBFA2_s_hBFA2-21C-R1-Time24_R1.fastq.gz,hBFA2_s_hBFA2-21C-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-21C-R1-Time32,hBFA2_s_hBFA2-21C-R1-Time32_R1.fastq.gz,hBFA2_s_hBFA2-21C-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-21C-R1-Time40,hBFA2_s_hBFA2-21C-R1-Time40_R1.fastq.gz,hBFA2_s_hBFA2-21C-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-21C-R1-Time8,hBFA2_s_hBFA2-21C-R1-Time8_R1.fastq.gz,hBFA2_s_hBFA2-21C-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-21C-R2-Time16,hBFA2_s_hBFA2-21C-R2-Time16_R1.fastq.gz,hBFA2_s_hBFA2-21C-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-21C-R2-Time24,hBFA2_s_hBFA2-21C-R2-Time24_R1.fastq.gz,hBFA2_s_hBFA2-21C-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-21C-R2-Time32,hBFA2_s_hBFA2-21C-R2-Time32_R1.fastq.gz,hBFA2_s_hBFA2-21C-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-21C-R2-Time40,hBFA2_s_hBFA2-21C-R2-Time40_R1.fastq.gz,hBFA2_s_hBFA2-21C-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-21C-R2-Time8,hBFA2_s_hBFA2-21C-R2-Time8_R1.fastq.gz,hBFA2_s_hBFA2-21C-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-21C-R3-Time16,hBFA2_s_hBFA2-21C-R3-Time16_R1.fastq.gz,hBFA2_s_hBFA2-21C-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-21C-R3-Time24,hBFA2_s_hBFA2-21C-R3-Time24_R1.fastq.gz,hBFA2_s_hBFA2-21C-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-21C-R3-Time32,hBFA2_s_hBFA2-21C-R3-Time32_R1.fastq.gz,hBFA2_s_hBFA2-21C-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-21C-R3-Time40,hBFA2_s_hBFA2-21C-R3-Time40_R1.fastq.gz,hBFA2_s_hBFA2-21C-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-21C-R3-Time8,hBFA2_s_hBFA2-21C-R3-Time8_R1.fastq.gz,hBFA2_s_hBFA2-21C-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-21C_alpha-R1-Subpool,hBFA2-21C_alpha-R1-Subpool_S31_R1_001.fastq.gz,
hBFA2,hBFA2-37C-R1-Time16,hBFA2_h1_hBFA2-37C-R1-Time16_R1.fastq.gz,hBFA2_h1_hBFA2-37C-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-37C-R1-Time24,hBFA2_h1_hBFA2-37C-R1-Time24_R1.fastq.gz,hBFA2_h1_hBFA2-37C-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-37C-R1-Time32,hBFA2_h1_hBFA2-37C-R1-Time32_R1.fastq.gz,hBFA2_h1_hBFA2-37C-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-37C-R1-Time40,hBFA2_h1_hBFA2-37C-R1-Time40_R1.fastq.gz,hBFA2_h1_hBFA2-37C-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-37C-R1-Time8,hBFA2_dBFA2_h2_hBFA2-37C-R1-Time8_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-37C-R2-Time16,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-37C-R2-Time24,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time24_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-37C-R2-Time32,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time32_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-37C-R2-Time40,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time40_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-37C-R2-Time8,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time8_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-37C-R3-Time16,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-37C-R3-Time24,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time24_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-37C-R3-Time32,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time32_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-37C-R3-Time40,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time40_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-37C-R3-Time8,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time8_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-37C-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-37C_alpha-R1-Subpool,hBFA2-37C_alpha-R1-Subpool_S24_R1_001.fastq.gz,
hBFA2,hBFA2-48Hr-R1-Time16,hBFA2_dBFA2_h2_hBFA2-48Hr-R1-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-48Hr-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-48Hr-R1-Time24,hBFA2_dBFA2_h2_hBFA2-48Hr-R1-Time24_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-48Hr-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-48Hr-R1-Time40,hBFA2_dBFA2_h2_hBFA2-48Hr-R1-Time40_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-48Hr-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-48Hr-R2-Time16,hBFA2_dBFA2_h2_hBFA2-48Hr-R2-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-48Hr-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-48Hr-R2-Time32,hBFA2_dBFA2_h2_hBFA2-48Hr-R2-Time32_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-48Hr-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-48Hr-R2-Time40,hBFA2_dBFA2_h2_hBFA2-48Hr-R2-Time40_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-48Hr-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-All-R-0,hBFA2_s_hBFA2-All-R-0_R1.fastq.gz,hBFA2_s_hBFA2-All-R-0_R2.fastq.gz
hBFA2,hBFA2-CLM-R1-Time16,hBFA2_s_hBFA2-CLM-R1-Time16_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-CLM-R1-Time24,hBFA2_s_hBFA2-CLM-R1-Time24_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-CLM-R1-Time32,hBFA2_s_hBFA2-CLM-R1-Time32_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-CLM-R1-Time40,hBFA2_s_hBFA2-CLM-R1-Time40_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-CLM-R1-Time8,hBFA2_s_hBFA2-CLM-R1-Time8_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-CLM-R2-Time16,hBFA2_s_hBFA2-CLM-R2-Time16_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-CLM-R2-Time24,hBFA2_s_hBFA2-CLM-R2-Time24_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-CLM-R2-Time32,hBFA2_s_hBFA2-CLM-R2-Time32_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-CLM-R2-Time40,hBFA2_s_hBFA2-CLM-R2-Time40_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-CLM-R2-Time8,hBFA2_s_hBFA2-CLM-R2-Time8_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-CLM-R3-Time16,hBFA2_s_hBFA2-CLM-R3-Time16_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-CLM-R3-Time24,hBFA2_s_hBFA2-CLM-R3-Time24_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-CLM-R3-Time32,hBFA2_s_hBFA2-CLM-R3-Time32_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-CLM-R3-Time40,hBFA2_s_hBFA2-CLM-R3-Time40_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-CLM-R3-Time8,hBFA2_s_hBFA2-CLM-R3-Time8_R1.fastq.gz,hBFA2_s_hBFA2-CLM-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-CLM_2N-R1-Subpool,hBFA2-CLM_2N-R1-Subpool_S40_R1_001.fastq.gz,
hBFA2,hBFA2-CLM_alpha-R1-Subpool,hBFA2-CLM_alpha-R1-Subpool_S26_R1_001.fastq.gz,
hBFA2,hBFA2-FLC4-R1-Time16,hBFA2_s_hBFA2-FLC4-R1-Time16_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-FLC4-R1-Time24,hBFA2_s_hBFA2-FLC4-R1-Time24_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-FLC4-R1-Time32,hBFA2_s_hBFA2-FLC4-R1-Time32_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-FLC4-R1-Time40,hBFA2_s_hBFA2-FLC4-R1-Time40_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-FLC4-R1-Time8,hBFA2_s_hBFA2-FLC4-R1-Time8_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-FLC4-R2-Time16,hBFA2_s_hBFA2-FLC4-R2-Time16_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-FLC4-R2-Time24,hBFA2_s_hBFA2-FLC4-R2-Time24_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-FLC4-R2-Time32,hBFA2_s_hBFA2-FLC4-R2-Time32_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-FLC4-R2-Time40,hBFA2_s_hBFA2-FLC4-R2-Time40_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-FLC4-R2-Time8,hBFA2_s_hBFA2-FLC4-R2-Time8_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-FLC4-R3-Time16,hBFA2_s_hBFA2-FLC4-R3-Time16_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-FLC4-R3-Time24,hBFA2_s_hBFA2-FLC4-R3-Time24_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-FLC4-R3-Time32,hBFA2_s_hBFA2-FLC4-R3-Time32_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-FLC4-R3-Time40,hBFA2_s_hBFA2-FLC4-R3-Time40_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-FLC4-R3-Time8,hBFA2_s_hBFA2-FLC4-R3-Time8_R1.fastq.gz,hBFA2_s_hBFA2-FLC4-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-FLC4_2N-R1-Subpool,hBFA2-FLC4_2N-R1-Subpool_S27_R1_001.fastq.gz,
hBFA2,hBFA2-FLC4_alpha-R1-Subpool,hBFA2-FLC4_alpha-R1-Subpool_S30_R1_001.fastq.gz,
hBFA2,hBFA2-GlyEtOH-R1-Time16,hBFA2_s_hBFA2-GlyEtOH-R1-Time16_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R1-Time24,hBFA2_s_hBFA2-GlyEtOH-R1-Time24_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R1-Time32,hBFA2_s_hBFA2-GlyEtOH-R1-Time32_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R1-Time40,hBFA2_s_hBFA2-GlyEtOH-R1-Time40_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R1-Time8,hBFA2_s_hBFA2-GlyEtOH-R1-Time8_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R2-Time16,hBFA2_s_hBFA2-GlyEtOH-R2-Time16_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R2-Time24,hBFA2_s_hBFA2-GlyEtOH-R2-Time24_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R2-Time24_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R2-Time32,hBFA2_s_hBFA2-GlyEtOH-R2-Time32_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R2-Time32_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R2-Time40,hBFA2_s_hBFA2-GlyEtOH-R2-Time40_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R2-Time40_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R2-Time8,hBFA2_s_hBFA2-GlyEtOH-R2-Time8_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R2-Time8_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R3-Time16,hBFA2_s_hBFA2-GlyEtOH-R3-Time16_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R3-Time16_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R3-Time24,hBFA2_s_hBFA2-GlyEtOH-R3-Time24_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R3-Time24_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R3-Time32,hBFA2_s_hBFA2-GlyEtOH-R3-Time32_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R3-Time32_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R3-Time40,hBFA2_s_hBFA2-GlyEtOH-R3-Time40_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R3-Time40_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH-R3-Time8,hBFA2_s_hBFA2-GlyEtOH-R3-Time8_R1.fastq.gz,hBFA2_s_hBFA2-GlyEtOH-R3-Time8_R2.fastq.gz
hBFA2,hBFA2-GlyEtOH_2N-R1-Subpool,hBFA2-GlyEtOH_2N-R1-Subpool_S35_R1_001.fastq.gz,
hBFA2,hBFA2-GlyEtOH_alpha-R1-Subpool,hBFA2-GlyEtOH_alpha-R1-Subpool_S25_R1_001.fastq.gz,
hBFA2,hBFA2-SC-R1-Time16,hBFA2_h1_hBFA2-SC-R1-Time16_R1.fastq.gz,hBFA2_h1_hBFA2-SC-R1-Time16_R2.fastq.gz
hBFA2,hBFA2-SC-R1-Time24,hBFA2_h1_hBFA2-SC-R1-Time24_R1.fastq.gz,hBFA2_h1_hBFA2-SC-R1-Time24_R2.fastq.gz
hBFA2,hBFA2-SC-R1-Time32,hBFA2_dBFA2_h2_hBFA2-SC-R1-Time32_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-SC-R1-Time32_R2.fastq.gz
hBFA2,hBFA2-SC-R1-Time40,hBFA2_h1_hBFA2-SC-R1-Time40_R1.fastq.gz,hBFA2_h1_hBFA2-SC-R1-Time40_R2.fastq.gz
hBFA2,hBFA2-SC-R1-Time8,hBFA2_dBFA2_h2_hBFA2-SC-R1-Time8_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-SC-R1-Time8_R2.fastq.gz
hBFA2,hBFA2-SC-R2-Time16,hBFA2_dBFA2_h2_hBFA2-SC-R2-Time16_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-SC-R2-Time16_R2.fastq.gz
hBFA2,hBFA2-SC-R2-Time24,hBFA2_dBFA2_h2_hBFA2-SC-R2-Time24_R1.fastq.gz,hBFA2_dBFA2_h2_hBFA2-SC-R2-Time24_R2.fastq.gz
